Time,Learning rate,Train loss,Validation loss,MAE_EAT
432.8213634490967,0.0001,9241.913419163004,79.14548669433594,6.1293775024414066
864.2587747573853,0.0001,58.5395148244222,62.61995416259766,6.5102140350341795
1399.0640366077423,0.0001,42.402873685709636,19.248786041259766,3.0651915969848633
2022.6490557193756,0.0001,26.75234368540446,48.27731800842285,5.951950851440429
2748.8683919906616,0.0001,21.158657560984295,8.38485865020752,1.7945905208587647
3621.831620693207,0.0001,17.973055588531494,6.355454633712768,1.5543462944030761
4638.645369529724,0.0001,14.956362261327108,5.597301372528076,1.517756151199341
6092.839709043503,0.0001,13.436162487792968,6.572302425384522,1.7298486099243164
7394.7336847782135,0.0001,9.811577321370443,22.422557189941408,4.1382096481323245
9165.32778596878,0.0001,8.721107390975952,66.40303497314453,7.674688705444336
11215.064757108688,0.0001,7.851705648549398,10.485578689575195,2.668844617843628
12784.695549249649,0.0001,5.928348603312174,9.066244537353516,2.5828918170928956
14442.582951784134,0.0001,5.4920243696212765,10.730925559997559,2.8761153697967528
16522.8833630085,0.0001,4.992047507445018,10.572643035888673,2.8664336910247803
19078.214249372482,0.0001,4.041442128054301,4.547063911437989,1.7814177284240722
23088.849612236023,0.0001,4.235034445635478,6.7926790733337405,2.2288371524810793
26028.45248889923,0.0001,3.6231490414301555,6.040362045288086,2.113978120803833
29009.76891374588,0.0001,2.847268753496806,1.2631297092437743,0.8239133853912354
32056.815739631653,0.0001,3.404725867128372,6.8659375915527345,2.3323648433685302
35391.57257962227,0.0001,2.0558702778816222,2.1814386434555053,1.2399139251708984
38734.506930828094,0.0001,2.3997023332277934,2.0607214136123657,1.2167421798706055
42162.81420874596,0.0001,3.018212377134959,5.580793678283691,2.139695363998413
45767.98566246033,0.0001,2.459863055451711,7.143806617736816,2.442118591308594
49494.1865272522,0.0001,1.46210291223526,1.6618821630477905,1.0952490921020508
53318.49104118347,0.0001,2.664211049858729,6.653950813293457,2.3818102130889893
57224.95347213745,0.0001,2.0702847908178965,7.02207583618164,2.4488909988403322
61391.20189499855,0.0001,1.368804323720932,1.6757074871063233,1.0962508869171144
65580.453571558,0.0001,1.818968513552348,0.9500551857948303,0.7819829730987549
69960.16758966446,0.0001,2.011937514781952,2.704748414039612,1.4431186790466308
74443.14906144142,0.0001,1.6854530810832977,3.6329221954345705,1.7158357429504394
79211.642516613,0.0001,1.5893697308381398,3.195210464477539,1.5998273391723632
84035.99192357063,0.0001,1.527360525592168,2.5010158615112306,1.3937571754455567
89054.73739719391,0.0001,1.4666411687692007,2.0350977821350096,1.240831226348877
94171.06888270378,0.0001,1.4135412287076314,1.7041073474884034,1.1222327518463135
99478.21679759026,0.0001,1.3634018355528514,1.3920523872375488,1.0013029403686524
104826.28750395775,0.0001,1.3158198480765024,1.111019591331482,0.8817592849731445
110472.70155978203,0.0001,1.282288469394048,1.0743339409828185,0.8673702964782715
116054.1393609047,0.0001,1.0913262025992077,0.5194365577697754,0.5600059871673584
121856.8063800335,0.0001,1.1384673243045806,0.6040685620307923,0.6132908992767334
127804.13491082191,0.0001,1.2548174479961396,0.6777945308685303,0.6486650600433349
133939.21227526665,0.0001,1.2688441459655762,3.40628275680542,1.6479533252716065
140110.42176270485,0.0001,1.0767951139767964,1.2533911719322204,0.9488879852294921
146556.6715772152,0.0001,1.1466660998821259,3.2472019538879393,1.6089104385375976
153011.12518310547,0.0001,1.1013339120546977,2.6969389324188233,1.438355058670044
159745.9940714836,0.0001,1.0144098439693452,2.810097509384155,1.5018083820343018
166672.38876748085,0.0001,0.9945484816551209,1.7345352420806885,1.1399471340179443
174102.44463801384,0.0001,1.0106052065054576,2.5977877349853515,1.4210756340026856
181922.73360824585,0.0001,0.9121552524089813,1.7416053113937378,1.1464168167114257
189734.4370188713,0.0001,0.9347650470256805,1.2751273245811463,0.9643653354644776
197089.9555220604,0.0001,0.874181458791097,1.0098586812019348,0.846370138168335
204750.17892766,0.0001,0.8654924170811971,0.8158531975746155,0.7504958095550537
212499.0790026188,0.0001,0.8617590660254161,1.2436852297782899,0.9494167747497558
220412.76501441002,0.0001,0.8453811527570089,1.3511457629203796,0.994333646774292
228460.00335860252,0.0001,0.8244236089626948,1.1611951761245727,0.9131691799163818
236635.27879428864,0.0001,0.8092595470666886,1.076636032104492,0.8754253177642822
245037.73946547508,0.0001,0.8064701668262482,1.4923664817810058,1.053099962234497
253489.66762423515,0.0001,0.8069015167713165,1.9529241161346436,1.2268422927856446
262384.42582535744,0.0001,0.7921262214342754,1.941954713821411,1.2215224742889403
271168.08169722557,0.0001,0.7564690284013749,1.3436910347938538,0.9930118675231934
280249.86199235916,0.0001,0.7227043485323588,0.5910955898761749,0.6283449459075928
289536.64621567726,0.0001,0.7364214022795359,0.9243351826667786,0.806484577178955
299133.38012218475,0.0001,0.7380636583328247,1.5113576650619507,1.064996353149414
308925.7809231281,0.0001,0.8831983513593674,0.3910852861404419,0.49825278282165525
318556.71621108055,0.0001,0.7832086489041646,0.3710898585319519,0.48385675430297853
328534.7758858204,0.0001,0.7187439257780711,0.5711658573150635,0.6110471076965333
338416.92722916603,0.0001,0.7919168774286905,0.35000400733947756,0.46917543983459475
